name,base,peptides%,time,Rad1,Rad2,Rad3,Rad4,Rad5,Rad6,,,,,,,,,,,,
H4,O=C(NC(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(N)=O)[H])=O)[H])=O)[H])C(CC4=CN=CN4)NC(C)=O,5,5,135110.94,119445.91,215394.27,,,,,,,,,,,,,,,
H4,O=C(NC(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(N)=O)[H])=O)[H])=O)[H])C(CC4=CN=CN4)NC(C)=O,10,5,278054.41,127278.43,205603.61,,,,,,,,,,,,,,,
H4,O=C(NC(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(N)=O)[H])=O)[H])=O)[H])C(CC4=CN=CN4)NC(C)=O,20,5,172315.41,148817.86,123362.16,,,,,,,,,,,,,,,
H4,O=C(NC(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(N)=O)[H])=O)[H])=O)[H])C(CC4=CN=CN4)NC(C)=O,50,5,78325.188,78325.188,101822.74,,,,,,,,,,,,,,,
H4,O=C(NC(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(N)=O)[H])=O)[H])=O)[H])C(CC4=CN=CN4)NC(C)=O,100,5,101822.74,90073.961,103780.87,,,,,,,,,,,,,,,
H5,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,5,5,8852704,6792751.5,3136923.8,,,,,,,,,,,,,,,
h5,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,10,5,5518009.5,7891262.5,4192355.5,,,,,,,,,,,,,,,
h5,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,20,5,3597084.2,3722404.5,7084513,,,,,,,,,,,,,,,
h5,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,50,5,1801479.2,4593772,3156505,,,,,,,,,,,,,,,
h5,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,100,5,1903302,2273388.5,1627205.8,,,,,,,,,,,,,,,
h6,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,5,5,5895928.5,13203668,8874244,,,,,,,,,,,,,,,
